Name,National Libraries,Academic Libraries,Public Libraries,School Libraries,Other Libraries,National Libraries with Internet Access,Academic Libraries with Internet Access,Public Libraries with Internet Access,School Libraries with Internet Access,Other Libraries with Internet Access,National Full-Time Staff,Academic Full-Time Staff,Public Full-Time Staff,Other Full-Time Staff,National Volunteers,Academic Volunteers,Public Volunteers,National Registered Users,Academic Registered Users,Public Registered Users,Other Registered Users,National Physical Visits,Academic Physical Visits,Public Physical Visits,Other Physical Visits,National Physical Loans (books),Academic Physical Loans (books),Public Physical Loans (books),School Physical Loans (books),Other Physical Loans (books),Public Physical Loans (documents on physical carrier),Academic Electronic loans (eBooks),Public Electronic loans (eBooks),Public Electronic Loans (audio books),Academic Electronic Loans (downloads),Public Electronic Loans (downloads),School Full-Time Staff,School Volunteers,School Registered Users,School Physical Visits,Academic Physical Loans (documents on physical carrier),Other Physical Loans (documents on physical carrier),Other Electronic loans (eBooks),Academic Electronic Loans (audio books),Other Electronic Loans (audio books),Other Electronic Loans (downloads),Community Libraries,Community Libraries with Internet Access,Community Full-Time Staff,Community Volunteers,Other Volunteers,National Electronic Loans (downloads),Community Registered Users,Community Physical Visits,Community Physical Loans (books),Community Physical Loans (documents on physical carrier),Community Electronic loans (eBooks),Community Electronic Loans (audio books),Community Electronic Loans (downloads),National Physical Loans (documents on physical carrier),School Physical Loans (documents on physical carrier),National Electronic Loans (audio books),School Electronic Loans (downloads),National Electronic loans (eBooks),School Electronic loans (eBooks),School Electronic Loans (audio books)
Guinea-Bissau,1,4,24,19,8,,,,,,12,,,,,,,500,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,1,5,67,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,26,815,290,,,,,21,,,842,,2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,1,3,52,84,8,1,3,52,60,,110,28,80,16,2,2,10,2500,,25500,,10000,32,25000,,75000,414,1000,,,,57233,,,90013,,46,,,,0,,,0,,,3,3,6,3,,1500,150,200,75,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",,,3,,,,,,,,,,12,,,,33,,,2078,,,,,,,,15258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,1,,546,7067,690,1,,40,25,433,220,,3656,1346,,,,2095,,331619,,39640,,6565152,3373405,41233,,8627072,822525,59260,17004,,,21372,,252806,8378,,1915696,16510586,,711576,,,,,,,,,,8029078,,,,,,,,15238,29107,624,45218,,,
Dominican Republic,1,77,276,995,128,1,,75,,,,,83,,,,122,,,20573,,,,393571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,4,,,,,4,,,,,21,,,,,,,3468,,,,250688,,,,,,,,,103775,,,184462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,1,86,118,899,69,1,81,101,,68,78,438,1017,138,,629,246,8419,50738,442904,138,9136,309406,1446755,4600,24039,95843,676576,,36800,118,14476,,,4842003,,122,,,390415,33432,750,,591,,840,,,,,217,0,,,,,,,,1,,0,,0,,
Martinique,,3,,,,,3,,,,,23,,,,0,,,3152,,,,106457,,,,58199,,,,,103775,,,184462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,29,,,,,17,,,,,37,,,,5,,,26790,,,,493500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1,16,27,167,36,1,16,22,,36,44,211,129,78,,2,,,32519,222000,1023,3980,28284,745781,3485,9096,102620,622770,776560,3095,31362,,11698,75,43664,,306,,,2342402,7,26,208,,2,2234,,,,,0,,,,,,,,,20,,,,,,
Costa Rica,1,118,61,935,,1,118,61,389,,34,300,138,,,0,0,3716,53675,33704,,12627,,556685,,,81985,710482,,,,6700,,,4198032,,960,0,,,14500,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,2,25,,2,,2,25,,2,,53,58,,,53,82,,32171,38692,,,6774,636647,,,38768,360865,,174765,,,18771,,,81864,,4,25,825,22920,9129,,,1921,,,,,,,,489,,,,,,,,150,20,,4950,280,4125,
Honduras,,27,,,,,27,,,,,182,,,,42,,,127759,,,,932598,,,,110994,,,,,33701,,,45337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,1,1857,7427,5904,,1,1504,3661,,,200,11209,15891,,,,,8542,79607192,36255644,,1709348,,,,44364,53953604,2414337,21264184,,,,716932,,,16177,10351,,24500868,,,,,,,,,,,,,13567,,,,,,,,,,,,297,,
Nicaragua,1,52,142,597,,1,52,62,184,,45,279,256,,7,142,85,300,,3933,,4800,1850406,171939,,100430,1850,1460000,500000,,,22315,,,177338,,480,388,,204856,,,,,,,25,25,36,56,,,152,4893,18236,,,,,,,,,,,
Panama,3,96,58,21,72,1,90,,,27,26,177,,30,3,,,12177,,,,3400,,,,81788,,,,,,,,,,,21,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2,2097,30,284,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1,2407,6102,69367,,,,,,,490,,,,0,,,,,,,110000,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,
Chile,1,173,519,9868,77,10,165,447,9816,77,170,1046,1473,,0,,,135390,303802,71270,21202,541463,,,1073507,145867,2211547,12256074,,152179,53763,763276,15888,,8023710,,15748,,826340,,450682,3419,1237,110,428,,,,,,,744191,,,,,,,,1345,,,,,,
Colombia,1,252,1702,19400,,1,,1702,,,25,7560,3500,,4,,,8409,9226844,1324000,,46874,252000000,12803000,,55278,20975000,2604000,,,,277200000,,,378000000,,,,,,,,,,,,204,191,408,816,,40700,4080,,,,,,,6701,,304,,12,,
